Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time,Latitude,Longitude,Elevation,Habitant
705,708,phylloscopus humei,hume's warbler,0.9853,psh10,2024,6,4,6,33.13514,76.463139,3664,1
711,714,phylloscopus humei,hume's warbler,0.9133,psh10,2024,6,4,6,33.13514,76.463139,3664,1
720,723,phylloscopus humei,hume's warbler,0.9937,psh10,2024,6,4,6,33.13514,76.463139,3664,1
729,732,phylloscopus humei,hume's warbler,0.9932,psh10,2024,6,4,6,33.13514,76.463139,3664,1
738,741,phylloscopus humei,hume's warbler,0.974,psh10,2024,6,4,6,33.13514,76.463139,3664,1
744,747,phylloscopus humei,hume's warbler,0.9949,psh10,2024,6,4,6,33.13514,76.463139,3664,1
753,756,phylloscopus humei,hume's warbler,0.9987,psh10,2024,6,4,6,33.13514,76.463139,3664,1
765,768,phylloscopus humei,hume's warbler,0.9921,psh10,2024,6,4,6,33.13514,76.463139,3664,1
774,777,phylloscopus humei,hume's warbler,0.8015,psh10,2024,6,4,6,33.13514,76.463139,3664,1
786,789,phylloscopus humei,hume's warbler,0.9449,psh10,2024,6,4,6,33.13514,76.463139,3664,1
792,795,trochalopteron variegatum,variegated laughingthrush,0.6272,psh10,2024,6,4,6,33.13514,76.463139,3664,1
795,798,phylloscopus humei,hume's warbler,0.9957,psh10,2024,6,4,6,33.13514,76.463139,3664,1
804,807,phylloscopus humei,hume's warbler,0.9777,psh10,2024,6,4,6,33.13514,76.463139,3664,1
813,816,phylloscopus humei,hume's warbler,0.9989,psh10,2024,6,4,6,33.13514,76.463139,3664,1
819,822,phylloscopus humei,hume's warbler,0.9806,psh10,2024,6,4,6,33.13514,76.463139,3664,1
828,831,phylloscopus humei,hume's warbler,0.9913,psh10,2024,6,4,6,33.13514,76.463139,3664,1
837,840,phylloscopus humei,hume's warbler,0.9323,psh10,2024,6,4,6,33.13514,76.463139,3664,1
840,843,phylloscopus humei,hume's warbler,0.5847,psh10,2024,6,4,6,33.13514,76.463139,3664,1
846,849,phylloscopus humei,hume's warbler,0.9979,psh10,2024,6,4,6,33.13514,76.463139,3664,1
855,858,phylloscopus humei,hume's warbler,0.9859,psh10,2024,6,4,6,33.13514,76.463139,3664,1
861,864,phylloscopus humei,hume's warbler,0.9896,psh10,2024,6,4,6,33.13514,76.463139,3664,1
867,870,phylloscopus humei,hume's warbler,0.9857,psh10,2024,6,4,6,33.13514,76.463139,3664,1
870,873,phylloscopus nitidus,green warbler,0.5019,psh10,2024,6,4,6,33.13514,76.463139,3664,0
876,879,phylloscopus humei,hume's warbler,0.9827,psh10,2024,6,4,6,33.13514,76.463139,3664,1
879,882,phylloscopus trochiloides,greenish warbler,0.5449,psh10,2024,6,4,6,33.13514,76.463139,3664,1
