Start (s),End (s),Common name,Confidence,ID,Month,Day,Time,Latitude,Longitude,Elevation,Habitant,Elevation_type
705.0,708.0,hume's warbler,0.9853,psh10,6,4,6,33.13514,76.463139,3664,1,high
711.0,714.0,hume's warbler,0.9133,psh10,6,4,6,33.13514,76.463139,3664,1,high
720.0,723.0,hume's warbler,0.9937,psh10,6,4,6,33.13514,76.463139,3664,1,high
729.0,732.0,hume's warbler,0.9932,psh10,6,4,6,33.13514,76.463139,3664,1,high
738.0,741.0,hume's warbler,0.974,psh10,6,4,6,33.13514,76.463139,3664,1,high
744.0,747.0,hume's warbler,0.9949,psh10,6,4,6,33.13514,76.463139,3664,1,high
753.0,756.0,hume's warbler,0.9987,psh10,6,4,6,33.13514,76.463139,3664,1,high
765.0,768.0,hume's warbler,0.9921,psh10,6,4,6,33.13514,76.463139,3664,1,high
774.0,777.0,hume's warbler,0.8015,psh10,6,4,6,33.13514,76.463139,3664,1,high
786.0,789.0,hume's warbler,0.9449,psh10,6,4,6,33.13514,76.463139,3664,1,high
792.0,795.0,variegated laughingthrush,0.6272,psh10,6,4,6,33.13514,76.463139,3664,1,high
795.0,798.0,hume's warbler,0.9957,psh10,6,4,6,33.13514,76.463139,3664,1,high
804.0,807.0,hume's warbler,0.9777,psh10,6,4,6,33.13514,76.463139,3664,1,high
813.0,816.0,hume's warbler,0.9989,psh10,6,4,6,33.13514,76.463139,3664,1,high
819.0,822.0,hume's warbler,0.9806,psh10,6,4,6,33.13514,76.463139,3664,1,high
828.0,831.0,hume's warbler,0.9913,psh10,6,4,6,33.13514,76.463139,3664,1,high
837.0,840.0,hume's warbler,0.9323,psh10,6,4,6,33.13514,76.463139,3664,1,high
840.0,843.0,hume's warbler,0.5847,psh10,6,4,6,33.13514,76.463139,3664,1,high
846.0,849.0,hume's warbler,0.9979,psh10,6,4,6,33.13514,76.463139,3664,1,high
855.0,858.0,hume's warbler,0.9859,psh10,6,4,6,33.13514,76.463139,3664,1,high
861.0,864.0,hume's warbler,0.9896,psh10,6,4,6,33.13514,76.463139,3664,1,high
867.0,870.0,hume's warbler,0.9857,psh10,6,4,6,33.13514,76.463139,3664,1,high
870.0,873.0,green warbler,0.5019,psh10,6,4,6,33.13514,76.463139,3664,0,high
876.0,879.0,hume's warbler,0.9827,psh10,6,4,6,33.13514,76.463139,3664,1,high
879.0,882.0,greenish warbler,0.5449,psh10,6,4,6,33.13514,76.463139,3664,1,high
885.0,888.0,hume's warbler,0.5616,psh10,6,4,6,33.13514,76.463139,3664,1,high
888.0,891.0,olive-backed pipit,0.6005,psh10,6,4,6,33.13514,76.463139,3664,1,high
888.0,891.0,redwing,0.5051,psh10,6,4,6,33.13514,76.463139,3664,0,high
894.0,897.0,green warbler,0.6824,psh10,6,4,6,33.13514,76.463139,3664,0,high
12.0,15.0,greenish warbler,0.7914,psh10,6,4,7,33.13514,76.463139,3664,1,high
12.0,15.0,green warbler,0.7388,psh10,6,4,7,33.13514,76.463139,3664,0,high
30.0,33.0,green warbler,0.6437,psh10,6,4,7,33.13514,76.463139,3664,0,high
42.0,45.0,green warbler,0.8169,psh10,6,4,7,33.13514,76.463139,3664,0,high
48.0,51.0,green warbler,0.6619,psh10,6,4,7,33.13514,76.463139,3664,0,high
48.0,51.0,greenish warbler,0.5672,psh10,6,4,7,33.13514,76.463139,3664,1,high
78.0,81.0,himalayan rubythroat,0.6495,psh10,6,4,7,33.13514,76.463139,3664,1,high
81.0,84.0,hume's warbler,0.8448,psh10,6,4,7,33.13514,76.463139,3664,1,high
102.0,105.0,dunnock,0.7583,psh10,6,4,7,33.13514,76.463139,3664,0,high
108.0,111.0,dunnock,0.5442,psh10,6,4,7,33.13514,76.463139,3664,0,high
141.0,144.0,green warbler,0.8048,psh10,6,4,7,33.13514,76.463139,3664,0,high
156.0,159.0,green warbler,0.5345,psh10,6,4,7,33.13514,76.463139,3664,0,high
165.0,168.0,green warbler,0.5511,psh10,6,4,7,33.13514,76.463139,3664,0,high
171.0,174.0,green warbler,0.9339,psh10,6,4,7,33.13514,76.463139,3664,0,high
234.0,237.0,buff-barred warbler,0.8416,psh10,6,4,7,33.13514,76.463139,3664,1,high
330.0,333.0,buff-barred warbler,0.7821,psh10,6,4,7,33.13514,76.463139,3664,1,high
360.0,363.0,buff-barred warbler,0.8648,psh10,6,4,7,33.13514,76.463139,3664,1,high
