Start (s),End (s),Scientific name,Common name,Confidence,File Name,Latitude,Longitude,Elevation,Year,Month,Day,Time,Buzz
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9605,XC162535,,,,,,,,
33.0,36.0,Phylloscopus humei,Hume's Warbler,0.9986,XC162535,,,,,,,,
0.0,3.0,Phylloscopus humei,Hume's Warbler,0.9999,XC180338,,,,,,,,
6.0,9.0,Phylloscopus humei,Hume's Warbler,0.9999,XC180338,,,,,,,,
15.0,18.0,Phylloscopus humei,Hume's Warbler,0.9468,XC180338,,,,,,,,
21.0,24.0,Phylloscopus humei,Hume's Warbler,0.9478,XC180338,,,,,,,,
24.0,27.0,Phylloscopus humei,Hume's Warbler,0.9037,XC180338,,,,,,,,
27.0,30.0,Phylloscopus humei,Hume's Warbler,0.998,XC180338,,,,,,,,
30.0,33.0,Phylloscopus humei,Hume's Warbler,0.9967,XC180338,,,,,,,,
42.0,45.0,Phylloscopus humei,Hume's Warbler,0.9955,XC180338,,,,,,,,
45.0,48.0,Phylloscopus humei,Hume's Warbler,0.9878,XC180338,,,,,,,,
