Start (s),End (s),Scientific name,Common name,Confidence,File
576.0,579.0,Luscinia phaenicuroides,White-bellied Redstart,0.6962,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
579.0,582.0,Luscinia phaenicuroides,White-bellied Redstart,0.8152,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
585.0,588.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5442,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
588.0,591.0,Luscinia phaenicuroides,White-bellied Redstart,0.5971,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
588.0,591.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5046,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
600.0,603.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5826,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
603.0,606.0,Luscinia phaenicuroides,White-bellied Redstart,0.8165,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
606.0,609.0,Phylloscopus occipitalis,Western Crowned Warbler,0.5830,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
609.0,612.0,Luscinia phaenicuroides,White-bellied Redstart,0.5010,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
618.0,621.0,Luscinia phaenicuroides,White-bellied Redstart,0.8877,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
624.0,627.0,Luscinia phaenicuroides,White-bellied Redstart,0.5517,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
627.0,630.0,Luscinia phaenicuroides,White-bellied Redstart,0.9511,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
633.0,636.0,Luscinia phaenicuroides,White-bellied Redstart,0.5005,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
636.0,639.0,Luscinia phaenicuroides,White-bellied Redstart,0.7096,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
639.0,642.0,Luscinia phaenicuroides,White-bellied Redstart,0.8324,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
642.0,645.0,Luscinia phaenicuroides,White-bellied Redstart,0.6519,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
645.0,648.0,Luscinia phaenicuroides,White-bellied Redstart,0.9267,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
654.0,657.0,Luscinia phaenicuroides,White-bellied Redstart,0.7256,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
654.0,657.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5013,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
657.0,660.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5607,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
660.0,663.0,Luscinia phaenicuroides,White-bellied Redstart,0.7842,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
663.0,666.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7844,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
669.0,672.0,Luscinia phaenicuroides,White-bellied Redstart,0.7627,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
672.0,675.0,Luscinia phaenicuroides,White-bellied Redstart,0.7598,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
672.0,675.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.6964,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
681.0,684.0,Luscinia phaenicuroides,White-bellied Redstart,0.8093,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
684.0,687.0,Luscinia phaenicuroides,White-bellied Redstart,0.9139,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
687.0,690.0,Luscinia phaenicuroides,White-bellied Redstart,0.9274,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
690.0,693.0,Luscinia phaenicuroides,White-bellied Redstart,0.9451,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
699.0,702.0,Luscinia phaenicuroides,White-bellied Redstart,0.5299,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
702.0,705.0,Luscinia phaenicuroides,White-bellied Redstart,0.7049,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
705.0,708.0,Luscinia phaenicuroides,White-bellied Redstart,0.9877,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
714.0,717.0,Luscinia phaenicuroides,White-bellied Redstart,0.6434,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
717.0,720.0,Luscinia phaenicuroides,White-bellied Redstart,0.7480,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
720.0,723.0,Luscinia phaenicuroides,White-bellied Redstart,0.9539,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
723.0,726.0,Luscinia phaenicuroides,White-bellied Redstart,0.6492,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
729.0,732.0,Luscinia phaenicuroides,White-bellied Redstart,0.7499,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
732.0,735.0,Luscinia phaenicuroides,White-bellied Redstart,0.5037,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
735.0,738.0,Luscinia phaenicuroides,White-bellied Redstart,0.6697,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
741.0,744.0,Luscinia phaenicuroides,White-bellied Redstart,0.7735,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
750.0,753.0,Luscinia phaenicuroides,White-bellied Redstart,0.8998,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
756.0,759.0,Luscinia phaenicuroides,White-bellied Redstart,0.7440,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
765.0,768.0,Luscinia phaenicuroides,White-bellied Redstart,0.7599,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
768.0,771.0,Luscinia phaenicuroides,White-bellied Redstart,0.5813,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
777.0,780.0,Luscinia phaenicuroides,White-bellied Redstart,0.8814,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
783.0,786.0,Luscinia phaenicuroides,White-bellied Redstart,0.8145,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
789.0,792.0,Luscinia phaenicuroides,White-bellied Redstart,0.7860,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
792.0,795.0,Luscinia phaenicuroides,White-bellied Redstart,0.7758,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
792.0,795.0,Ficedula ruficauda,Rusty-tailed Flycatcher,0.5544,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
795.0,798.0,Luscinia phaenicuroides,White-bellied Redstart,0.7701,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
807.0,810.0,Luscinia phaenicuroides,White-bellied Redstart,0.5436,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
810.0,813.0,Luscinia phaenicuroides,White-bellied Redstart,0.8403,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
816.0,819.0,Luscinia phaenicuroides,White-bellied Redstart,0.9008,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
822.0,825.0,Luscinia phaenicuroides,White-bellied Redstart,0.9334,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
828.0,831.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.9105,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
828.0,831.0,Luscinia phaenicuroides,White-bellied Redstart,0.8052,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
