Start (s),End (s),Scientific name,Common name,Confidence,File
597.0,600.0,Phylloscopus trochiloides,Greenish Warbler,0.3901,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
597.0,600.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.3152,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
600.0,603.0,Phylloscopus trochiloides,Greenish Warbler,0.7819,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
600.0,603.0,Phylloscopus nitidus,Green Warbler,0.4199,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
603.0,606.0,Phylloscopus nitidus,Green Warbler,0.4450,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
603.0,606.0,Phylloscopus trochiloides,Greenish Warbler,0.2616,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
606.0,609.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1732,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
609.0,612.0,Phylloscopus nitidus,Green Warbler,0.2210,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
609.0,612.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1742,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
609.0,612.0,Phylloscopus trochiloides,Greenish Warbler,0.1721,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
